DK1;DK2;EE;FI;LT;LV;NO;SE
2292;1655;867;10085;955;797;16161;16230
2050;1495;804;9656;869;720;15307;15447
1929;1403;767;9258;821;669;14466;14931
1861;1353;743;8968;796;647;14144;14615
1808;1319;728;8893;786;640;13942;14472
1844;1319;735;8886;792;646;13885;14540
1886;1344;769;9206;852;688;13976;14636
2041;1469;888;10127;1051;806;14313;15233
2482;1654;1030;10776;1257;961;15639;17113
2941;1931;1147;11165;1393;1081;17341;18751
3123;2052;1164;11197;1420;1113;17770;19296
3044;2078;1156;11005;1420;1114;17451;19228
3085;2086;1157;10861;1426;1103;17302;19325
3064;2061;1153;10879;1398;1081;17320;19428
3000;2036;1177;10834;1405;1099;17228;19157
3019;2020;1181;10847;1391;1094;17207;19170
2996;2020;1209;11074;1393;1101;17127;19145
2922;2019;1226;11242;1419;1140;17393;19568
2993;2137;1200;11171;1436;1135;17734;19678
3225;2322;1165;11091;1401;1112;17616;19975
3061;2254;1121;11063;1346;1073;17357;19593
2860;2121;1087;10873;1292;1040;17081;18753
2646;1970;1032;10289;1197;981;16826;18182
2498;1834;952;10328;1058;894;16378;17394
2326;1657;861;10010;934;797;15760;16540
2111;1450;793;9476;852;692;14922;15522
1963;1324;757;9032;807;649;14407;15023
1920;1257;738;8788;785;634;13944;14716
1878;1245;722;8672;774;626;13783;14511
1859;1274;728;8684;780;625;13681;14374
1910;1280;758;8988;836;663;13923;14552
2074;1368;879;9970;1033;784;14406;15315
2480;1591;1029;10524;1243;943;15704;17035
2979;1883;1144;10839;1373;1054;17382;18939
3162;1980;1165;10883;1394;1083;17871;19505
3093;1973;1154;10695;1396;1082;17711;19218
3129;2010;1155;10692;1386;1071;17488;19347
3121;2000;1137;10770;1356;1031;17298;19390
3016;1992;1162;10703;1382;1052;17109;19125
3019;1999;1165;10700;1382;1056;17005;19270
3014;1982;1174;10810;1392;1067;17354;19453
2948;1911;1198;11042;1417;1115;17769;20036
3035;2063;1172;11087;1449;1123;17964;20276
3299;2275;1145;11075;1419;1098;17821;20418
3125;2216;1116;11107;1360;1061;17511;20140
2906;2070;1069;10798;1303;1027;17351;19506
2689;1917;1027;10251;1212;970;17001;18799
2503;1784;946;10286;1059;880;16757;17884
2301;1600;862;10002;931;779;15988;16786
2056;1415;794;9436;845;704;15224;15744
1929;1288;748;9033;792;656;14693;15392
1880;1214;735;8784;766;629;14359;15134
1862;1206;727;8662;753;620;14205;15120
1846;1204;732;8733;762;623;14285;15016
1877;1237;757;9059;826;661;14496;15185
2010;1333;872;9882;1028;782;15093;15867
2458;1578;1028;10498;1237;944;16581;17812
3041;1892;1138;10937;1358;1061;18249;19999
3270;2018;1149;10958;1389;1094;18669;20354
3223;2092;1145;10787;1400;1106;18513;20129
3247;2157;1143;10739;1391;1066;18550;20164
3291;2141;1126;10771;1368;1045;18449;19950
3164;2184;1132;10698;1385;1068;18299;19936
3166;2195;1137;10689;1378;1075;18350;19911
3165;2162;1153;10939;1379;1082;18474;20169
3055;2109;1188;11141;1415;1134;18666;20569
3115;2180;1175;11140;1441;1129;18963;20501
3334;2310;1150;11036;1403;1111;18839;20632
3109;2248;1111;11091;1346;1077;18417;20174
2923;2139;1067;10877;1285;1040;18200;19668
2773;2014;1013;10413;1191;978;17950;18912
2609;1898;938;10466;1052;884;17723;18305
2429;1742;862;10214;929;791;17010;17509
2190;1603;795;9626;844;715;16309;16810
2037;1498;759;9312;799;661;15673;16246
1955;1423;740;9057;777;642;15310;15766
1929;1372;748;9029;768;628;15072;15716
1933;1379;756;9131;772;635;15181;15744
1983;1399;787;9571;827;672;15417;16041
2150;1490;896;10577;1022;778;15883;16737
2555;1713;1043;11226;1226;938;17249;18872
3034;2010;1162;11637;1338;1053;19041;20921
3209;2101;1173;11590;1355;1076;19978;21450
3152;2087;1167;11474;1355;1079;19695;21337
3137;2145;1177;11393;1360;1074;19355;21500
3103;2126;1155;11410;1341;1042;19330;21461
3009;2124;1180;11395;1358;1069;18972;21292
2907;2080;1174;11334;1343;1067;18901;21041
2759;2058;1167;11450;1327;1062;18930;20944
2685;2049;1192;11711;1350;1100;19074;21122
2839;2151;1185;11745;1397;1102;19473;21679
3084;2310;1158;11764;1360;1084;19502;21690
2964;2245;1128;11758;1310;1049;19314;21120
2712;2088;1078;11550;1245;1015;18861;20369
2453;1895;1035;11075;1161;960;18081;19284
2315;1758;964;11125;1045;873;17537;18566
2144;1624;909;10885;942;792;17140;17878
1943;1472;858;10383;861;718;16574;17099
1845;1393;826;9975;804;670;16027;16356
1789;1374;802;9715;775;647;15657;16066
1747;1312;793;9630;760;638;15474;15798
1726;1301;795;9529;764;641;15434;15638
1736;1305;795;9752;789;655;15477;15691
1770;1326;822;10062;856;695;15616;15888
1926;1358;867;10203;936;763;16033;16245
2116;1493;928;10542;1015;829;16673;16799
2328;1674;971;10739;1098;877;17340;17450
2462;1833;1009;10762;1154;918;18159;18166
2591;1893;1018;10879;1168;928;18699;18800
2615;1923;1022;10888;1177;922;18870;19183
2469;1921;1016;10914;1171;922;18725;19189
2368;1963;1009;10964;1159;920;18603;19189
2329;1941;1020;11175;1161;935;18646;19181
2336;1873;1088;11661;1217;990;18750;19471
2477;1972;1108;11892;1276;1022;19188;20091
2771;2120;1106;12003;1253;1004;19456;20478
2668;2072;1099;11829;1207;975;19514;20205
2459;1950;1052;11404;1155;945;19024;19545
2286;1857;1007;11067;1091;900;18485;18872
2217;1773;943;11310;996;836;18131;18216
2104;1675;885;11166;907;766;17564;17668
1970;1589;840;10718;824;699;17125;17060
1817;1472;798;10370;775;655;16789;16620
1734;1383;770;10110;747;631;16542;16252
1694;1328;760;9941;733;618;16316;16041
1711;1317;756;9931;731;616;16281;16220
1701;1315;767;10040;750;631;16312;16412
1739;1361;792;10149;800;666;16432;16551
1834;1418;825;10195;861;717;16787;16682
1987;1517;871;10470;915;766;17143;17217
2180;1614;909;10491;996;812;17720;17774
2279;1749;962;10671;1069;855;18247;18664
2319;1805;985;10886;1116;882;18810;19346
2330;1837;992;10976;1130;890;19084;19831
2313;1826;1001;10919;1132;897;19028;20010
2273;1814;1010;10877;1133;896;18835;20107
2285;1787;1029;11060;1141;903;18955;20136
2260;1746;1089;11542;1203;960;19382;20658
2473;1892;1123;11727;1304;1009;20046;21845
2890;2135;1116;11735;1304;1007;20273;22295
2825;2117;1103;11739;1284;984;20363;21901
2644;1981;1084;11576;1226;964;20369;21654
2454;1850;1034;11247;1153;921;20240;21099
2325;1712;976;11513;1049;831;19852;20510
2185;1582;908;11427;946;752;19471;19834
1997;1443;854;11068;849;680;18800;18952
1831;1351;802;10730;800;633;18008;18775
1778;1303;791;10498;774;621;17724;18471
1797;1291;782;10463;762;612;17507;18499
1829;1311;789;10572;772;623;17592;18740
1887;1346;828;11015;827;667;17943;19046
2050;1450;945;12064;1050;794;18538;19972
2505;1718;1107;12544;1264;978;20127;22172
3042;2024;1219;12851;1357;1097;22325;24283
3256;2117;1236;12675;1417;1139;22957;24524
3188;2173;1236;12664;1455;1143;22701;24556
3256;2229;1238;12561;1432;1119;22602;24532
3260;2243;1223;12525;1404;1084;22500;24380
3203;2232;1248;12446;1419;1116;22515;24184
3191;2224;1246;12478;1411;1119;22541;24168
3152;2200;1253;12447;1404;1121;22465;24254
3061;2182;1279;12703;1429;1154;22527;24612
3132;2260;1293;12778;1488;1176;22779;24983
3379;2350;1267;12743;1466;1156;22607;24855
3230;2285;1239;12777;1413;1112;22318;24348
3012;2179;1191;12672;1360;1078;21998;23865
2744;2014;1142;12358;1273;1013;21654;22956
2568;1868;1059;12382;1123;916;21137;21997
2361;1681;980;12177;993;815;20397;20931
2151;1497;910;11764;908;733;19451;19860
2009;1374;884;11431;857;690;18753;19049
1918;1307;871;11213;826;668;18426;18964
1872;1265;862;11199;816;663;18101;18781
1881;1274;877;11314;823;673;18088;18870
1923;1320;918;11768;887;712;18253;19070
2114;1406;1030;12797;1096;836;18803;19673
2576;1660;1178;13242;1308;1006;20309;21841
3087;1919;1288;13462;1410;1127;21990;23622
3248;2042;1307;13318;1440;1159;22355;23818
3157;2036;1281;13243;1438;1159;22058;23550
3190;2071;1267;12905;1422;1141;22082;23555
3153;2063;1239;13055;1388;1102;21995;23458
3095;2065;1260;12890;1404;1119;21772;23397
3142;2062;1258;12852;1404;1116;21893;23342
3112;2039;1257;12991;1392;1111;22251;23492
3001;2014;1290;13392;1419;1156;22096;23585
3080;2116;1310;13549;1470;1182;22275;23969
3301;2274;1292;13521;1448;1162;22074;23747
3130;2191;1261;13534;1397;1123;21733;23454
2949;2058;1224;13348;1349;1090;21413;23021
2723;1913;1183;12866;1259;1022;21186;22340
2536;1783;1086;12882;1108;928;20621;21217
2325;1629;1007;12563;978;817;19830;20456
2103;1468;943;12102;893;743;18883;19239
1975;1347;921;11798;855;697;18162;18813
1897;1274;889;11535;838;682;17707;18337
