DK1;DK2;EE;FI;LT;LV;NO;SE
1892;1184;797;9385;843;651;14484;15641
1949;1215;833;9755;905;695;14549;15913
2120;1330;958;10643;1111;820;15053;16752
2593;1593;1069;10976;1265;942;16380;18568
2994;1816;1167;11106;1391;1046;17746;20053
3087;1907;1200;11256;1442;1105;18149;20375
3075;1964;1176;11292;1435;1108;18223;20323
3113;1993;1171;11266;1414;1098;18206;20446
3119;1984;1164;11266;1380;1050;17999;20257
3011;1979;1188;11190;1399;1073;17824;20032
3026;1927;1175;11098;1395;1071;17775;19970
2970;1887;1172;11054;1383;1057;17752;19770
2817;1862;1161;10991;1343;1041;17744;19955
2808;1851;1155;11167;1327;1033;17664;19787
2974;2005;1193;11485;1408;1091;17864;20259
3075;2098;1176;11520;1408;1081;18200;20445
2938;1976;1132;11359;1356;1045;17913;19972
2751;1826;1069;10824;1260;976;17595;19149
2562;1693;982;10829;1108;878;17163;18411
2332;1525;903;10564;981;784;16522;17295
2093;1372;837;10078;901;710;15717;16319
1953;1260;800;9731;855;673;15082;15617
1878;1209;782;9527;833;657;14634;15182
1870;1181;773;9438;827;650;14541;15156
1875;1187;786;9481;835;657;14704;15295
1930;1214;826;9863;898;703;14802;15383
2079;1326;950;10813;1102;826;15215;16083
2514;1577;1067;11129;1242;930;16563;18093
2908;1788;1168;11365;1359;1026;17989;19480
3008;1872;1207;11275;1401;1082;18433;19894
2973;1919;1204;11280;1389;1081;18438;20078
3028;1941;1197;11236;1359;1064;18493;20199
2984;1918;1176;11229;1330;1034;18261;20056
2917;1887;1185;11122;1343;1050;18124;19763
2839;1863;1159;10985;1335;1037;18029;19395
2700;1811;1147;10952;1310;1016;18003;19076
2608;1767;1119;10887;1282;1005;17803;18878
2641;1808;1124;11116;1288;1002;17698;18859
2861;1929;1165;11443;1360;1066;17730;19260
2939;1999;1154;11453;1351;1045;17927;19262
2757;1886;1107;11133;1290;1012;17751;18635
2523;1749;1054;10685;1204;949;17293;17731
2367;1656;973;10741;1075;860;16743;16948
2200;1526;900;10416;966;775;16208;16249
2025;1400;837;9900;883;709;15724;15447
1899;1291;804;9473;834;662;15307;15122
1812;1229;782;9288;808;639;14926;14695
1776;1189;775;9139;798;631;14699;14460
1770;1184;780;9118;796;631;14638;14557
1777;1191;794;9220;819;649;14696;14615
1836;1211;831;9509;895;693;14853;14839
1982;1282;855;9374;945;728;15201;15216
2157;1380;929;9605;1047;806;15536;15754
2344;1527;993;9838;1144;882;16271;16771
2420;1645;1017;9936;1191;914;17050;17463
2442;1690;1019;9942;1206;920;17330;17757
2411;1705;1011;9893;1210;911;17253;18019
2352;1693;1009;9843;1193;907;17016;17980
2303;1669;998;9829;1157;895;16821;17826
2259;1638;995;9913;1134;886;16725;17657
2251;1616;1001;9998;1132;882;16593;17661
2309;1636;1034;10387;1164;898;16820;18047
2547;1794;1088;11074;1247;966;17257;18699
2699;1929;1073;11023;1258;968;17760;19014
2543;1829;1035;10580;1203;943;17508;18294
2340;1692;982;10199;1129;893;17107;17724
2204;1589;917;10410;1025;824;16652;17036
2073;1488;863;10254;936;754;16140;16457
1929;1371;806;9831;857;687;15679;15956
1788;1280;770;9447;805;645;15189;15318
1711;1206;746;9178;778;624;14975;14959
1667;1170;737;9099;765;615;14766;14703
1694;1155;736;9084;766;615;14646;14709
1713;1155;746;9150;781;634;14649;14723
1763;1163;778;9324;832;663;14727;14936
1837;1236;793;9127;864;682;14870;15308
1958;1344;858;9242;955;752;15117;15582
2175;1483;933;9570;1044;825;15706;16209
2333;1648;970;9812;1097;861;16336;17081
2364;1713;983;9995;1121;870;16693;17639
2366;1748;985;10068;1122;864;16828;17924
2288;1725;978;10002;1116;859;16861;17974
2275;1700;971;9947;1100;857;17232;17848
2271;1669;973;9934;1091;851;17092;18009
2276;1649;979;10058;1100;857;16976;18031
2326;1669;1009;10287;1144;892;16939;18403
2578;1845;1071;10738;1245;957;17062;19140
2789;1977;1073;10775;1274;968;17506;19506
2653;1880;1040;10553;1230;949;17518;19253
2458;1723;985;10141;1150;900;17355;18544
2284;1614;914;10345;1027;818;17159;17838
2074;1470;836;10222;905;731;16622;17045
1905;1343;779;9863;826;665;16049;16335
1822;1257;746;9531;784;628;15325;15704
1800;1219;720;9333;767;609;14979;15363
1836;1206;713;9270;763;604;14793;15235
1864;1216;730;9329;776;614;14835;15304
1896;1235;773;9737;850;661;14987;15491
2020;1318;898;10653;1070;788;15520;16363
2442;1562;1024;10898;1215;915;17053;18361
2855;1798;1137;11037;1345;1031;18453;19815
2951;1923;1186;11126;1402;1100;18894;20228
2952;1948;1192;11130;1397;1107;18691;20245
3043;1983;1194;11291;1380;1093;18488;20180
3048;2009;1179;11308;1350;1040;18137;20062
2995;1995;1203;11234;1352;1047;17953;19974
3057;1990;1194;11158;1334;1034;17857;19790
2989;1968;1184;11115;1313;1020;17665;19800
2825;1930;1159;11011;1281;1003;17503;19521
2749;1937;1148;11068;1269;988;17614;19583
2960;2029;1180;11373;1358;1050;17904;20252
3096;2115;1161;11435;1386;1058;18154;20693
2981;2005;1121;11276;1330;1026;17928;20248
2783;1845;1059;10773;1227;961;17675;19587
2557;1713;975;10800;1070;865;17342;18849
2309;1560;876;10543;936;767;16661;17694
2061;1393;815;10061;862;695;15795;16601
1929;1290;783;9684;828;657;15084;15950
1879;1237;757;9401;812;640;14810;15650
1848;1211;760;9306;804;628;14567;15424
1861;1225;756;9357;813;637;14623;15422
1934;1257;809;9711;877;676;14811;15595
2100;1362;929;10573;1087;791;15252;16406
2558;1594;1045;10908;1228;907;16734;18407
2938;1803;1150;11106;1350;1030;18155;19705
3075;1884;1177;11216;1402;1079;18595;19850
3021;1892;1153;11193;1397;1088;18340;19817
3039;1914;1144;11187;1383;1064;18060;19691
3026;1889;1128;11157;1355;1018;17724;19412
2946;1893;1142;11053;1360;1030;17451;19306
2950;1899;1130;10974;1342;1022;17808;19316
2899;1882;1120;10909;1326;1009;17767;19262
2818;1863;1101;10832;1294;986;17688;19253
2799;1872;1100;10926;1283;971;17594;19230
2998;2005;1153;11306;1352;1050;17825;19951
3037;2081;1157;11411;1378;1073;18148;20249
2929;1969;1113;11261;1332;1042;17922;19982
2719;1843;1051;10719;1234;983;17576;19240
2532;1718;964;10673;1077;887;17250;18392
2306;1541;876;10377;948;788;16456;17375
2088;1387;819;9864;874;711;15642;16475
1943;1282;788;9504;833;671;15008;15781
1881;1223;776;9277;816;658;14639;15361
1867;1199;770;9211;811;647;14530;15434
1890;1212;773;9240;815;654;14606;15413
1952;1255;817;9621;879;695;14840;15724
2130;1368;932;10542;1082;812;15359;16509
2612;1600;1039;10756;1230;912;16569;18194
2974;1801;1145;10973;1352;1021;18014;19891
3102;1900;1163;11005;1401;1074;18416;20254
3096;1939;1140;11060;1401;1072;18636;20152
3140;1982;1114;10993;1389;1054;18446;20376
3133;2007;1081;10981;1364;1015;17806;20363
3073;1978;1097;10821;1373;1037;17820;20083
3088;1959;1083;10745;1367;1037;17850;19997
2999;1930;1079;10673;1356;1028;17832;19894
2860;1885;1060;10639;1330;1012;17733;20124
2829;1880;1052;10751;1312;1001;17835;19912
3002;2015;1117;11264;1379;1067;18114;20439
3049;2083;1135;11471;1396;1073;18165;20680
2918;1980;1095;11302;1346;1037;17901;20353
2727;1843;1039;10779;1249;973;17547;19638
2516;1712;956;10810;1090;874;17247;18786
2337;1564;867;10551;957;771;16567;17582
2114;1400;807;10014;881;698;15605;16657
1951;1289;778;9651;839;662;14869;15922
1875;1231;778;9430;822;644;14529;15681
1836;1199;758;9335;820;638;14311;15377
1863;1210;778;9350;825;647;14343;15456
1929;1255;802;9701;890;689;14481;15649
2096;1357;913;10554;1091;811;14891;16299
2551;1587;1028;10792;1235;931;16163;18329
2961;1785;1146;11024;1370;1041;17794;19684
3097;1885;1185;11127;1423;1100;18301;19752
3071;1906;1177;11104;1425;1107;18036;19553
3137;1949;1161;11129;1411;1086;17920;19596
3114;1938;1130;11032;1377;1045;17738;19232
3021;1913;1135;10894;1383;1066;17725;19434
3060;1887;1113;10767;1370;1060;17624;18977
2979;1855;1110;10741;1348;1051;17640;18730
2852;1819;1097;10667;1324;1043;17625;18879
2793;1837;1083;10794;1314;1015;17339;18755
2955;1983;1136;11224;1381;1062;17447;19425
3052;2084;1147;11411;1401;1080;17641;19851
2940;1994;1115;11202;1345;1045;17574;19419
2716;1857;1059;10638;1249;981;17208;18844
2539;1714;973;10650;1095;883;16729;18060
2321;1545;894;10392;973;779;16151;16819
2123;1386;828;9888;893;711;15496;15834
1969;1279;798;9545;849;670;14944;15184
1905;1219;779;9316;830;653;14623;15062
1894;1193;770;9084;827;647;14293;14870
1898;1203;776;9179;830;659;14321;14823
1944;1237;812;9565;897;698;14342;14899
2117;1339;916;10517;1093;806;14869;15829
2576;1568;1027;10845;1225;918;15988;17482
2955;1795;1134;11066;1356;1031;17450;18968
3059;1905;1166;11208;1394;1080;17899;19708
3056;1955;1157;11178;1382;1076;17950;19514
3098;1975;1143;11163;1358;1060;17815;19315
3070;1947;1112;11180;1325;1010;17636;19041
2949;1910;1122;11029;1331;1026;17539;18526
2857;1890;1100;10853;1310;1008;17447;18336
2762;1829;1082;10694;1281;987;17258;17819
2706;1800;1056;10690;1250;968;17416;17765
2747;1841;1047;10802;1255;953;17454;17749
2949;1995;1107;11222;1319;1012;17177;18442
2987;2072;1123;11328;1347;1048;17364;18672
2788;1933;1079;11067;1286;1012;17272;18151
2527;1787;1028;10574;1193;943;16883;17385
2407;1666;948;10646;1062;856;16351;16760
2217;1552;877;10345;946;769;15776;16004
2036;1411;814;9852;863;702;15278;15291
1865;1297;777;9453;811;668;15049;14824
1774;1212;759;9222;776;641;14682;14562
1715;1179;750;9096;765;632;14573;14448
1689;1184;750;9103;756;624;14550;14492
1710;1192;764;9235;778;641;14759;14557
1771;1221;796;9536;842;683;14670;14857
1918;1262;831;9434;909;724;14546;15072
2116;1377;915;9672;1019;814;15079;15679
2281;1523;972;9942;1098;872;15695;16251
2350;1631;991;9937;1130;896;16283;16642
2367;1659;987;9836;1133;893;16482;16403
2313;1639;976;9802;1112;880;16108;16175
2231;1621;957;9677;1092;868;15916;15937
2208;1579;938;9626;1054;858;15928;15659
2151;1538;925;9656;1030;835;15840;15505
2142;1510;919;9736;1030;827;15842;15558
2174;1524;928;9995;1050;833;16300;15841
2386;1677;995;10603;1133;894;16916;16742
2571;1843;1029;10868;1209;946;17175;17631
2428;1759;997;10498;1173;925;16962;17224
2259;1627;954;10124;1107;878;16458;16475
2122;1514;907;10236;1003;815;15915;15654
1979;1401;841;10082;906;744;15570;15312
1848;1309;787;9719;837;684;15229;14792
1769;1225;764;9325;793;652;14670;14373
1738;1152;746;9118;771;630;14362;14057
1734;1105;733;9022;761;617;14129;13824
1729;1096;728;8964;761;616;14045;13963
1723;1116;741;8989;779;634;13946;13959
1737;1150;751;9076;822;654;13953;14317
1834;1199;760;8776;864;678;13995;14156
1975;1275;829;9009;947;745;14193;14579
2174;1424;893;9276;1018;814;14705;15238
2263;1531;914;9445;1044;838;15229;15691
2299;1574;910;9492;1039;836;15743;15901
2291;1572;903;9515;1027;824;15702;15843
2243;1554;894;9432;1010;811;15236;15691
2181;1505;885;9398;988;806;15221;15323
2166;1470;879;9385;980;797;15146;15182
2134;1450;879;9347;990;795;15197;15246
2187;1489;899;9469;1024;809;15365;15371
2363;1628;963;10075;1124;886;15673;15979
2505;1809;1017;10459;1223;953;16172;17288
2440;1778;990;10210;1182;947;15970;17260
2254;1649;930;9758;1099;891;16102;16575
2111;1525;860;9953;973;806;15757;15920
1945;1386;788;9743;856;720;15333;15221
1812;1259;736;9277;778;652;14763;14454
1738;1173;707;8944;744;617;14209;14222
1690;1125;706;8728;727;601;13741;13857
1709;1095;709;8656;725;596;13745;13844
1712;1106;714;8683;738;604;13845;13865
1752;1137;758;9058;798;651;13952;14082
1930;1226;856;9954;958;759;14515;15137
2397;1447;959;10286;1064;872;16038;16784
2800;1671;1079;10575;1174;981;17664;18235
2899;1785;1109;10642;1218;1026;18128;18743
2872;1816;1105;10584;1211;1018;17914;18842
2932;1821;1093;10599;1190;999;17729;18715
2918;1797;1072;10497;1162;961;17373;18665
2818;1781;1085;10399;1162;980;16893;18350
2811;1750;1063;10375;1143;980;16689;18174
2768;1727;1054;10327;1114;962;16552;18116
2665;1681;1044;10139;1100;951;16419;17994
2667;1680;1036;10205;1104;925;16424;18052
2830;1795;1090;10553;1167;984;16567;18509
2861;1921;1095;10810;1236;1037;16995;19234
2842;1866;1076;10707;1185;1009;17160;18832
2620;1724;1009;10119;1088;952;16958;18320
2417;1588;929;10018;958;857;16687;17442
2215;1415;839;9763;858;754;16058;16449
2025;1272;778;9255;799;690;15378;15487
1873;1172;751;8957;759;654;14720;14860
1850;1132;745;8750;738;636;14304;14675
1826;1106;730;8716;733;633;14195;14596
1824;1115;729;8789;735;637;14320;14832
1879;1170;769;9152;763;679;14574;15110
2088;1271;875;9952;807;776;15298;15961
2501;1494;993;10254;865;886;16719;17947
2862;1710;1092;10524;959;989;18299;19416
2938;1806;1110;10606;1024;1033;18388;19631
2905;1846;1104;10481;1050;1030;17868;19333
2964;1848;1094;10456;1041;1012;17554;19118
2943;1827;1070;10437;1021;979;17027;18582
2850;1802;1086;10299;1004;1003;16737;18007
2871;1780;1068;10194;984;999;16628;17582
2775;1748;1060;10119;973;986;16639;17541
2642;1699;1037;9981;977;968;16552;17480
2606;1681;1029;10004;1001;947;16554;17418
2739;1788;1081;10398;1083;1014;16674;18133
2791;1898;1122;10861;1193;1062;17109;19011
2786;1869;1088;10757;1164;1032;17260;18861
2620;1742;1031;10197;1087;968;16929;18131
2455;1635;944;10177;959;868;16682;17713
2257;1468;859;9825;853;768;16081;16733
2035;1325;793;9340;786;690;15276;15749
1916;1242;769;9018;750;652;14553;15245
1860;1184;754;8838;738;636;14271;15165
1830;1160;734;8750;733;625;14207;14863
1851;1168;739;8821;739;633;14283;14918
1912;1212;779;9224;805;679;14514;15277
2088;1325;875;10031;1002;785;15065;15854
2488;1545;998;10211;1140;893;16421;17522
2838;1766;1090;10468;1255;991;17953;19194
2924;1857;1109;10514;1290;1037;18087;19227
2890;1877;1100;10354;1275;1040;17455;19236
2925;1904;1083;10351;1254;1021;17101;18859
2824;1876;1061;10349;1218;984;16690;18269
2685;1851;1078;10242;1226;1010;16521;17859
2750;1840;1071;10114;1221;995;16230;17630
2752;1803;1060;10009;1213;978;16053;17242
2636;1731;1037;9946;1183;959;15932;17172
2603;1717;1029;9966;1166;939;15968;16882
2745;1826;1065;10414;1225;988;16162;17597
2800;1932;1106;10814;1319;1040;16585;18489
2791;1914;1073;10641;1273;1009;16921;18401
2608;1775;1021;10027;1171;951;16725;17870
2447;1646;936;10027;1013;850;16404;17098
2244;1476;849;9773;890;749;15910;16239
2032;1326;785;9232;815;677;15113;15304
1915;1232;764;8891;779;649;14515;14660
1859;1174;754;8691;762;634;14276;14393
1825;1157;748;8606;757;626;14171;14391
1845;1171;746;8719;768;630;14357;14555
1918;1215;774;9113;828;672;14546;14777
2094;1326;876;9841;1001;774;14992;15559
2489;1537;992;10099;1129;885;16402;17098
2816;1762;1087;10325;1234;989;18057;18763
2939;1861;1109;10402;1260;1035;18038;18927
2892;1877;1091;10349;1245;1026;17693;18595
2947;1873;1083;10286;1227;1011;17559;18278
2910;1834;1064;10208;1191;973;17246;17763
2818;1814;1066;10113;1203;991;17156;17310
2838;1801;1060;9970;1202;979;16904;17081
2797;1762;1045;9913;1187;967;16744;17064
2660;1703;1017;9819;1157;949;16534;17009
2609;1688;999;9733;1140;926;16264;16990
2783;1800;1041;10170;1201;970;16467;17344
2863;1894;1090;10530;1305;1031;16858;18195
2826;1873;1061;10535;1266;1000;17092;18232
2632;1738;996;10051;1163;934;16860;17689
2439;1607;912;10022;1004;840;16303;16780
2241;1448;831;9677;878;735;15708;15756
2003;1302;754;9255;804;662;14973;14630
1875;1208;726;8910;768;624;14489;14269
1802;1139;711;8686;749;605;14311;13804
1770;1109;699;8611;741;596;14290;13809
1793;1116;704;8720;750;605;14339;13946
1833;1157;740;9122;813;647;14577;14200
2042;1268;840;9818;993;750;14996;15135
2429;1477;954;10218;1133;861;16217;16932
2761;1689;1055;10472;1255;964;17676;18595
2851;1791;1074;10554;1280;1012;18065;18926
2872;1838;1064;10463;1258;1012;17757;18559
2943;1842;1057;10464;1238;994;17312;18349
2907;1823;1039;10461;1204;952;17280;17772
2796;1804;1064;10333;1205;967;17025;17457
2707;1796;1056;10265;1193;949;17472;17097
2606;1722;1040;10182;1171;931;17433;16873
2539;1663;1018;10158;1153;912;17388;16884
2599;1675;1007;10204;1152;905;17264;17045
2793;1841;1049;10566;1199;943;17238;17778
2881;1943;1086;11011;1271;993;17429;18107
2711;1900;1040;10832;1233;960;17343;17782
2547;1755;981;10332;1146;898;16651;16936
2403;1646;906;10374;1015;810;16452;16343
2246;1533;828;10108;896;728;15975;15787
2124;1421;763;9593;820;660;15312;14965
2002;1333;735;9192;772;621;14753;14348
1953;1266;720;9016;742;601;14549;14149
1936;1235;737;9007;730;597;14441;14025
1939;1225;742;9043;728;598;14490;14073
1935;1217;762;9199;746;615;14506;14434
1937;1249;786;9395;809;639;14569;14841
2052;1300;818;9304;887;696;14827;15029
2208;1406;899;9604;1004;783;15402;15690
2381;1562;946;9805;1091;847;15948;16392
2450;1684;976;9988;1133;876;16333;16966
2491;1715;983;9982;1134;876;16487;17108
2435;1686;983;9933;1129;867;16199;16902
2375;1652;979;9845;1117;867;16021;16641
2324;1618;976;9832;1093;862;15908;16462
2279;1599;976;9864;1071;857;15766;16251
2260;1566;972;9998;1065;863;15675;16225
2338;1601;986;10299;1075;878;16010;16569
2603;1748;1023;10762;1120;916;16356;17331
2653;1897;1047;11128;1165;945;16847;18002
2514;1802;1015;10806;1118;925;17065;17748
2325;1688;965;10359;1042;863;16670;17142
2195;1553;894;10535;939;782;16211;16461
2039;1458;836;10381;847;710;15697;15759
1881;1370;790;9977;781;658;15296;15307
1780;1260;765;9591;745;620;14950;14832
1790;1166;746;9321;722;606;14740;14782
1770;1093;737;9187;712;597;14554;14736
1798;1090;741;9168;714;603;14582;14648
1806;1115;755;9289;744;622;14616;14689
1853;1169;758;9191;780;639;14655;14943
1948;1200;789;9070;834;673;14801;14971
2092;1320;868;9334;920;733;14969;15177
2223;1443;925;9547;991;799;15462;15814
2316;1560;950;9647;1028;830;15849;16378
2354;1627;950;9776;1036;833;15967;16362
2358;1642;949;9734;1026;829;16040;16375
2294;1638;942;9677;1023;822;15948;16296
2179;1595;938;9636;1007;813;15967;15942
2161;1581;935;9622;1002;804;16049;15961
2190;1571;942;9670;1011;805;16133;15930
2279;1606;958;9887;1035;810;16254;16414
2530;1780;1001;10219;1097;863;16408;17173
2674;1905;1051;10884;1223;940;16835;18001
2595;1847;1024;10786;1195;932;17020;17837
2452;1752;976;10431;1118;884;16926;17164
2324;1637;914;10660;994;803;16483;16458
2157;1486;846;10628;876;723;15535;15848
2012;1347;797;10305;804;657;15169;15128
1923;1258;773;10030;770;622;14788;14949
1820;1187;758;9885;751;605;14610;14827
1837;1167;753;9891;742;600;14627;14739
1899;1187;767;10045;753;615;14599;14805
1957;1220;807;10454;820;656;14702;15028
2112;1314;880;11177;1008;732;15199;15845
2483;1534;1006;11624;1164;854;16400;17235
2878;1769;1108;11755;1306;984;18117;18781
2982;1875;1150;11732;1376;1057;18377;19150
2970;1915;1150;11537;1379;1080;18227;19331
2986;1947;1140;11355;1377;1062;17953;19155
2973;1921;1115;11221;1339;1018;17477;19083
2891;1907;1136;11147;1342;1043;17343;18991
2913;1887;1119;11087;1315;1035;17407;19005
2826;1834;1108;10968;1294;1024;17298;19007
2734;1791;1083;10742;1257;997;16986;18891
2732;1786;1066;10859;1209;969;16982;18909
2903;1915;1093;11097;1226;1007;17005;19258
2893;2006;1142;11698;1308;1057;17446;19671
2860;1966;1113;11700;1277;1028;17882;19598
2690;1824;1070;11166;1184;961;17654;18853
2515;1699;992;11286;1031;864;17224;18030
2292;1518;913;11075;924;769;16552;16881
2094;1362;857;10664;849;702;15840;15914
1938;1274;826;10366;820;660;15221;15219
1850;1224;809;10132;813;650;14958;14999
1785;1159;808;10093;799;644;14843;14939
1789;1155;803;10193;809;657;14909;15140
1875;1190;828;10647;860;704;15129;15317
2097;1290;858;11354;1016;790;15584;16161
2506;1514;1007;11488;1161;903;16896;17726
2891;1762;1114;11704;1278;1016;18593;19119
2982;1890;1141;11635;1320;1059;18869;19575
2961;1938;1143;11403;1315;1054;18537;19401
3020;1973;1136;11328;1310;1029;18126;19347
3018;1935;1113;11251;1287;995;17690;19147
2913;1916;1117;11219;1300;1014;17549;18786
2944;1909;1104;11151;1298;1006;17452;18866
2899;1847;1089;11098;1292;995;17468;18853
2789;1844;1072;11015;1271;985;17365;18889
2746;1838;1049;11041;1255;966;17603;18744
2915;1939;1086;11259;1300;1003;17655;19172
2931;1972;1119;11799;1350;1057;17667;19822
2863;1933;1086;11703;1297;1030;18003;19871
2669;1790;1033;11071;1196;960;17866;19202
2427;1667;970;11076;1035;867;17471;18567
2208;1471;910;10872;900;780;16793;17521
2012;1329;872;10452;829;705;16046;16471
1877;1237;838;10129;790;669;15300;15731
1823;1172;825;9944;769;648;15088;15518
1815;1155;804;9943;770;641;15006;15480
1810;1146;803;10044;781;653;15125;15608
1870;1181;836;10477;848;696;15114;15711
2048;1276;887;11109;1021;774;15541;16565
2380;1458;1008;11382;1176;890;17163;18185
2774;1716;1125;11581;1318;1014;19010;19869
2914;1840;1160;11580;1366;1071;19447;20521
2945;1897;1164;11511;1357;1085;19040;20289
3042;1933;1152;11387;1336;1064;18863;20134
3066;1939;1123;11296;1300;1024;18650;19808
3032;1932;1147;11261;1304;1046;18502;19768
3041;1919;1133;11107;1301;1028;18251;19645
2990;1900;1129;11114;1283;1011;18154;19667
2877;1899;1107;11081;1249;998;17982;19598
2851;1897;1084;11123;1237;980;17789;19456
2942;1980;1115;11355;1270;1028;17810;19892
2922;2042;1158;12011;1323;1067;17971;20397
2881;1999;1110;11919;1277;1045;18169;20231
2728;1855;1068;11369;1179;986;17941;19609
2539;1725;965;11417;1018;893;17474;18811
2360;1549;895;11292;893;791;16785;17783
2148;1393;838;10856;824;717;16051;16768
1996;1313;816;10543;786;677;15329;16041
1926;1247;805;10339;763;651;14972;15835
1910;1216;801;10354;756;642;14907;15602
1869;1195;812;10543;760;656;14841;15646
1894;1221;840;10958;823;699;14959;15668
2060;1307;904;11538;984;778;15475;16449
2457;1504;1025;11705;1143;892;16623;17977
2836;1725;1122;11801;1283;1014;17990;19395
2961;1832;1143;11798;1331;1057;18420;19666
2943;1858;1136;11560;1320;1059;18287;19713
3058;1859;1132;11406;1298;1039;18227;19660
3020;1842;1120;11299;1265;990;17845;19458
2931;1815;1127;11208;1277;1004;17664;19169
2921;1804;1114;11110;1274;995;17718;18954
2824;1770;1103;11105;1265;984;17612;18566
2714;1705;1083;11080;1242;972;17519;18406
2664;1684;1087;11215;1213;954;17597;18245
2790;1792;1121;11378;1253;982;17601;18499
2816;1878;1158;11840;1320;1026;17750;18976
2825;1897;1132;11739;1276;990;17882;18879
2703;1777;1060;11189;1182;923;17606;18208
2531;1642;980;11113;1025;825;17138;17354
2349;1486;885;10851;897;738;16432;16388
2120;1354;813;10292;815;671;15561;15376
1995;1241;790;9908;781;641;15091;14587
1938;1161;776;9728;763;622;14647;14337
1907;1140;765;9584;758;613;14413;14029
1900;1146;773;9577;765;629;14197;14166
1959;1166;795;9875;823;667;14454;14260
2110;1233;861;10513;967;736;14968;14764
2381;1443;974;10833;1099;840;16000;16296
2720;1677;1081;11145;1199;950;17647;18216
2853;1780;1106;11280;1228;1010;17861;18276
2895;1820;1113;11265;1218;1011;17532;18186
2948;1840;1109;11208;1200;988;17277;18054
2897;1828;1100;11006;1174;958;16995;18075
2726;1805;1115;10878;1185;978;16689;17485
2658;1800;1097;10683;1176;972;16405;17030
2554;1763;1077;10642;1159;962;16397;16936
2497;1731;1043;10544;1139;948;16279;16543
2531;1776;1023;10514;1141;939;16198;16927
2669;1903;1028;10712;1162;961;16292;17184
2692;1934;1088;11257;1262;1009;16661;17818
2676;1858;1053;11143;1229;987;17117;17470
2471;1712;996;10616;1136;921;16640;16484
2300;1589;927;10631;1002;837;16147;15836
2119;1457;846;10343;886;754;15660;15011
1969;1353;781;9828;808;691;15198;14384
1816;1263;750;9432;758;653;14703;13706
1703;1202;733;9211;735;628;14355;13624
1689;1161;725;9107;722;612;14275;13434
1670;1127;733;9067;721;609;14216;13464
1660;1133;737;9167;749;617;14357;13576
1689;1158;742;9130;789;631;14395;13636
1780;1184;798;9224;889;694;14695;13866
1956;1327;877;9426;999;776;15110;14686
2131;1469;921;9569;1074;832;15613;15350
2262;1556;940;9529;1093;855;16162;15639
2322;1593;935;9486;1090;852;16448;15610
2308;1592;925;9386;1072;839;16228;15694
2239;1573;917;9330;1054;828;16341;15408
2219;1549;905;9242;1032;821;16344;15163
2156;1532;891;9265;1021;804;16261;15019
2171;1528;889;9401;1020;800;16252;15094
2211;1556;892;9617;1027;801;16182;15505
2373;1710;913;9915;1066;830;16371;16201
2379;1792;982;10511;1165;901;16769;16857
2390;1737;964;10278;1133;891;16992;16715
2225;1609;932;9851;1051;842;16526;16446
2069;1497;873;10018;940;774;15975;15822
1935;1396;823;9872;839;700;15459;15270
1784;1289;762;9464;769;642;15070;14686
1674;1191;733;9110;729;612;14602;13989
1632;1138;711;8845;710;593;14434;13816
1621;1114;703;8767;701;587;14398;13781
1640;1107;704;8769;707;589;14486;13794
1654;1120;719;8825;732;604;14536;13831
1689;1138;709;8739;752;606;14615;13850
1764;1168;752;8697;815;655;14562;13776
1927;1276;832;8907;907;729;14860;14381
2036;1422;890;9103;980;793;15298;14930
2139;1493;912;9314;1007;819;15809;15300
2217;1541;914;9484;1011;830;15943;15691
2259;1557;912;9535;1009;827;15908;15674
2241;1532;913;9503;1010;826;15638;15459
2129;1520;902;9426;1006;827;15400;15504
2064;1473;902;9495;1005;813;15251;15340
2037;1463;908;9536;1014;812;15091;15292
2110;1509;917;9623;1041;815;15148;15546
2344;1655;944;9767;1091;848;15408;16105
2429;1741;1013;10277;1198;936;15788;16935
2465;1763;993;10169;1176;939;16579;17399
2337;1650;949;9768;1093;884;16618;16785
2172;1528;877;9946;962;800;16405;16144
2017;1391;809;9808;962;710;15869;15573
1866;1253;758;9372;772;650;15292;14876
1781;1177;730;9036;735;624;14785;14502
1746;1132;713;8763;719;610;14499;14505
1732;1111;711;8744;715;596;14376;14531
1750;1126;721;8780;726;604;14513;14679
1810;1154;757;9107;791;638;14794;15119
2009;1268;851;9759;971;729;15268;15792
2368;1473;982;10283;1135;868;16686;17409
2738;1716;1101;10515;1275;993;18314;19089
2867;1813;1137;10532;1333;1054;18839;19378
2860;1838;1133;10368;1339;1064;18060;18938
2905;1844;1125;10293;1328;1050;17645;18754
2898;1821;1097;10225;1293;1021;17268;18527
2745;1776;1108;10066;1302;1043;17017;18298
2855;1801;1090;9926;1284;1037;16487;18108
2797;1775;1081;9817;1273;1028;16325;17635
2668;1737;1055;9678;1246;1009;16122;17472
2620;1727;1036;9623;1218;986;15963;17286
2792;1828;1047;9688;1241;1004;16029;17598
2775;1859;1093;10338;1299;1041;16380;18245
2810;1888;1065;10407;1266;1020;16994;18680
2657;1759;1000;9908;1168;951;17039;18373
2476;1633;928;9909;1007;852;16802;17704
2248;1471;843;9695;881;748;16090;16652
2042;1314;781;9244;801;681;15284;15805
1919;1221;760;8881;765;645;14603;14931
1862;1174;742;8660;740;633;14476;14715
1837;1154;741;8666;732;625;14532;14666
1838;1164;751;8795;747;633;14622;14873
