hour;dk1;dk2;ee;fi;lt;lv;no;se
17 - 18;0.708684211;0.736;0.21;0.283643361;0.103333333;0.06;0.605901288;0.373019654
18 - 19;0.689736842;0.718;0.196666667;0.295209416;0.096666667;0.06;0.599959532;0.392141753
19 - 20;0.605526316;0.731;0.2;0.294874362;0.096666667;0.06;0.580079966;0.403713583
20 - 21;0.543421053;0.74;0.206666667;0.290632298;0.086666667;0.05;0.562074632;0.402802843
21 - 22;0.532631579;0.707;0.193333333;0.288756991;0.096666667;0.06;0.543239027;0.390085501
22 - 23;0.581578947;0.612;0.15;0.291920855;0.116666667;0.06;0.52242503;0.373696142
23 - 00;0.608157895;0.643;0.15;0.27266757;0.133333333;0.06;0.534458888;0.352218768
00 - 01;0.652894737;0.516;0.163333333;0.263615302;0.206666667;0.09;0.495634242;0.31800799
01 - 02;0.665;0.771;0.213333333;0.277100743;0.253333333;0.1;0.58456248;0.31768744
02 - 03;0.673421053;0.865;0.223333333;0.263616391;0.313333333;0.12;0.615264172;0.307371462
03 - 04;0.656052632;0.837;0.213333333;0.259911632;0.383333333;0.16;0.603303489;0.316857834
04 - 05;0.676052632;0.813;0.223333333;0.250226065;0.43;0.2;0.611493373;0.345427487
05 - 06;0.697368421;0.841;0.256666667;0.258498171;0.46;0.19;0.625964112;0.339523914
06 - 07;0.711315789;0.875;0.246666667;0.253718431;0.456666667;0.17;0.639906447;0.333403551
07 - 08;0.704210526;0.859;0.3;0.260070534;0.43;0.16;0.632837777;0.335302804
08 - 09;0.690789474;0.793;0.39;0.251181464;0.436666667;0.19;0.605292672;0.332088541
09 - 10;0.669736842;0.77;0.38;0.264306393;0.41;0.25;0.587964277;0.324155989
10 - 11;0.604473684;0.836;0.353333333;0.262903777;0.356666667;0.18;0.585590645;0.316298251
11 - 12;0.563947368;0.753;0.37;0.248685802;0.416666667;0.25;0.546557043;0.32272376
12 - 13;0.519210526;0.583;0.36;0.245467644;0.37;0.31;0.475455196;0.324155061
13 - 14;0.448684211;0.475;0.326666667;0.236645138;0.32;0.31;0.406837285;0.296827646
14 - 15;0.367368421;0.403;0.296666667;0.221039575;0.343333333;0.33;0.351573111;0.284350911
15 - 16;0.345263158;0.374;0.313333333;0.203414642;0.336666667;0.29;0.328641926;0.266662621
16 - 17;0.376842105;0.425;0.26;0.209598234;0.306666667;0.28;0.353334555;0.25816156
17 - 18;0.412368421;0.445;0.236666667;0.20307172;0.353333333;0.24;0.365962512;0.240519114
18 - 19;0.465789474;0.399;0.256666667;0.187500945;0.253333333;0.29;0.362031819;0.221305983
19 - 20;0.466842105;0.423;0.236666667;0.172370262;0.266666667;0.27;0.368008282;0.214182741
20 - 21;0.461052632;0.435;0.233333333;0.159526235;0.203333333;0.25;0.36407406;0.196169549
21 - 22;0.442105263;0.446;0.226666667;0.141584297;0.16;0.2;0.358917004;0.188645749
22 - 23;0.421842105;0.412;0.216666667;0.123729379;0.103333333;0.2;0.344670303;0.200168804
23 - 00;0.416315789;0.41;0.216666667;0.107061514;0.09;0.16;0.337514824;0.186228683
00 - 01;0.402631579;0.445;0.226666667;0.103316758;0.096666667;0.1;0.343177231;0.181900114
01 - 02;0.390789474;0.323;0.213333333;0.094962868;0.126666667;0.06;0.30023244;0.186907846
02 - 03;0.385526316;0.267;0.193333333;0.08705951;0.14;0.03;0.282839389;0.195991851
03 - 04;0.397105263;0.217;0.236666667;0.082507304;0.173333333;0.03;0.273923686;0.207665796
04 - 05;0.366578947;0.185;0.243333333;0.080418898;0.19;0.04;0.250753232;0.200680748
05 - 06;0.355;0.124;0.216666667;0.074630331;0.223333333;0.04;0.228513083;0.20653925
06 - 07;0.312105263;0.102;0.163333333;0.081528488;0.31;0.03;0.204291146;0.198768174
07 - 08;0.269210526;0.079;0.183333333;0.081990828;0.383333333;0.04;0.182009382;0.197817619
08 - 09;0.227368421;0.09;0.176666667;0.08602679;0.383333333;0.05;0.172369781;0.199740923
09 - 10;0.197105263;0.123;0.13;0.087842964;0.456666667;0.07;0.16503229;0.174991608
10 - 11;0.181052632;0.111;0.093333333;0.082482541;0.406666667;0.07;0.149080726;0.155189548
11 - 12;0.171315789;0.185;0.08;0.079680232;0.346666667;0.1;0.167421827;0.145949691
12 - 13;0.176842105;0.241;0.056666667;0.073366033;0.323333333;0.11;0.181461568;0.126542598
13 - 14;0.140263158;0.296;0.03;0.070895819;0.3;0.12;0.183004425;0.112750117
14 - 15;0.151052632;0.399;0.02;0.060665178;0.236666667;0.13;0.221435755;0.114254634
15 - 16;0.19;0.38;0.036666667;0.046705298;0.2;0.13;0.23092217;0.122766511
16 - 17;0.222894737;0.447;0.076666667;0.043983254;0.136666667;0.11;0.266385868;0.129262867
17 - 18;0.208684211;0.416;0.076666667;0.048596865;0.11;0.12;0.250184439;0.125869108
18 - 19;0.223157895;0.397;0.09;0.055262079;0.09;0.1;0.255617264;0.146693897
19 - 20;0.237105263;0.336;0.083333333;0.059803954;0.08;0.09;0.233959302;0.128772644
20 - 21;0.266578947;0.38;0.086666667;0.049249145;0.106666667;0.08;0.25305428;0.112583894
21 - 22;0.258157895;0.45;0.113333333;0.047313827;0.126666667;0.08;0.275023553;0.116912764
22 - 23;0.327368421;0.502;0.11;0.047865423;0.136666667;0.07;0.320612982;0.132470526
23 - 00;0.363684211;0.428;0.123333333;0.059446071;0.153333333;0.05;0.308652667;0.134273791
00 - 01;0.353421053;0.326;0.11;0.059754775;0.19;0.07;0.275177785;0.146112302
01 - 02;0.375526316;0.219;0.103333333;0.057317561;0.173333333;0.05;0.248846904;0.152014397
02 - 03;0.417105263;0.252;0.086666667;0.055402424;0.246666667;0.05;0.272229014;0.147581778
03 - 04;0.495526316;0.336;0.056666667;0.071076656;0.373333333;0.06;0.32644593;0.147811473
04 - 05;0.562894737;0.438;0.053333333;0.092017815;0.446666667;0.08;0.383438344;0.149420295
05 - 06;0.649473684;0.564;0.043333333;0.111479367;0.483333333;0.09;0.455128985;0.151913272
06 - 07;0.685526316;0.679;0.056666667;0.123409401;0.49;0.08;0.51275563;0.173740573
07 - 08;0.728421053;0.743;0.053333333;0.135957102;0.45;0.09;0.555199236;0.194176656
08 - 09;0.752631579;0.761;0.056666667;0.144292931;0.323333333;0.08;0.576807355;0.216790487
09 - 10;0.761315789;0.779;0.033333333;0.133438215;0.396666667;0.08;0.594602508;0.243491734
10 - 11;0.760526316;0.853;0.023333333;0.116196433;0.323333333;0.11;0.634012316;0.288510633
11 - 12;0.738684211;0.831;0.023333333;0.119364272;0.273333333;0.12;0.632634502;0.328219294
12 - 13;0.699473684;0.808;0.026666667;0.114701956;0.256666667;0.15;0.618786424;0.348885589
13 - 14;0.683947368;0.828;0.033333333;0.106685513;0.18;0.09;0.623363329;0.35814262
14 - 15;0.661052632;0.833;0.036666667;0.09728133;0.103333333;0.08;0.626852377;0.3865045
15 - 16;0.647631579;0.801;0.036666667;0.112765386;0.176666667;0.08;0.619368438;0.409473734
16 - 17;0.635789474;0.803;0.06;0.11752966;0.226666667;0.09;0.620438191;0.422525099
17 - 18;0.627368421;0.813;0.08;0.10398263;0.23;0.17;0.620537795;0.421244963
18 - 19;0.613684211;0.836;0.08;0.100646379;0.286666667;0.16;0.614475829;0.393743278
19 - 20;0.604736842;0.809;0.133333333;0.12803632;0.35;0.13;0.598885021;0.38291822
20 - 21;0.594473684;0.793;0.166666667;0.156472924;0.34;0.17;0.586173965;0.371048212
21 - 22;0.593684211;0.764;0.226666667;0.185050351;0.306666667;0.18;0.568657448;0.348288132
22 - 23;0.607631579;0.747;0.263333333;0.201560664;0.246666667;0.22;0.563571557;0.336083092
23 - 00;0.585789474;0.753;0.326666667;0.213397646;0.243333333;0.21;0.556941494;0.332035008
00 - 01;0.553421053;0.692;0.276666667;0.228388507;0.246666667;0.19;0.520958558;0.31745462
01 - 02;0.556578947;0.655;0.273333333;0.242357252;0.283333333;0.16;0.500988238;0.291385766
02 - 03;0.593421053;0.611;0.273333333;0.240688697;0.29;0.17;0.490041136;0.265702355
03 - 04;0.637105263;0.483;0.38;0.250843232;0.26;0.14;0.458260075;0.25467496
04 - 05;0.669210526;0.589;0.4;0.253433123;0.27;0.13;0.50479378;0.256170815
05 - 06;0.696842105;0.749;0.403333333;0.265487254;0.306666667;0.13;0.566712518;0.254295448
06 - 07;0.722894737;0.776;0.373333333;0.261273686;0.333333333;0.12;0.587834489;0.264608729
07 - 08;0.747105263;0.77;0.346666667;0.274694371;0.38;0.12;0.603756297;0.294163629
08 - 09;0.757894737;0.805;0.34;0.273116692;0.433333333;0.12;0.625218067;0.312759465
09 - 10;0.746842105;0.837;0.356666667;0.261531057;0.47;0.2;0.634446688;0.319497959
10 - 11;0.740789474;0.823;0.336666667;0.246841799;0.586666667;0.26;0.631444947;0.330545366
11 - 12;0.747631579;0.803;0.25;0.252359137;0.606666667;0.35;0.629887997;0.339032413
12 - 13;0.761578947;0.787;0.223333333;0.24257405;0.603333333;0.41;0.631736744;0.346631285
13 - 14;0.755263158;0.778;0.233333333;0.246258323;0.593333333;0.42;0.62780232;0.350143802
14 - 15;0.738421053;0.768;0.243333333;0.243785394;0.513333333;0.4;0.624313505;0.366519462
