hour;dk1;dk2;ee;fi;lt;lv;no;se
15 - 16;0.046842105;0.028;0.143333333;0.023504532;0.026666667;0.08;0.065234585;0.120861649
16 - 17;0.041578947;0.037;0.123333333;0.039195967;0.046666667;0.1;0.06852515;0.126996503
17 - 18;0.045;0.035;0.093333333;0.041324884;0.026666667;0.1;0.066995715;0.120987144
18 - 19;0.052368421;0.038;0.06;0.043226372;0.026666667;0.08;0.072879316;0.128269527
19 - 20;0.056842105;0.046;0.056666667;0.057784145;0.046666667;0.07;0.082208481;0.143783338
20 - 21;0.07;0.045;0.046666667;0.054206396;0.076666667;0.07;0.086062213;0.143186639
21 - 22;0.064473684;0.046;0.053333333;0.050900015;0.12;0.07;0.083446876;0.139866944
22 - 23;0.058947368;0.048;0.046666667;0.052851594;0.14;0.05;0.081569873;0.137762252
23 - 00;0.058947368;0.05;0.05;0.063583117;0.166666667;0.05;0.084351785;0.144107987
00 - 01;0.073157895;0.046;0.046666667;0.06641835;0.13;0.02;0.086998162;0.141836592
01 - 02;0.070263158;0.043;0.046666667;0.086973174;0.096666667;0.01;0.082342748;0.133765087
02 - 03;0.062894737;0.053;0.053333333;0.09888808;0.083333333;0.01;0.085388681;0.140271306
03 - 04;0.065526316;0.072;0.06;0.106741819;0.086666667;0;0.093893643;0.144154613
04 - 05;0.063947368;0.106;0.073333333;0.098563815;0.063333333;0;0.104449006;0.14339965
05 - 06;0.065263158;0.093;0.05;0.10550485;0.053333333;0;0.098988066;0.138701039
06 - 07;0.061842105;0.097;0.046666667;0.103197955;0.036666667;0;0.096390801;0.130330298
07 - 08;0.076578947;0.134;0.046666667;0.073401029;0.026666667;0;0.104599091;0.103218325
08 - 09;0.118684211;0.229;0.016666667;0.059102344;0.003333333;0;0.138644558;0.068249464
09 - 10;0.172631579;0.282;0.016666667;0.058995817;0;0.01;0.168149042;0.049815548
10 - 11;0.207368421;0.358;0.04;0.049196783;0;0.03;0.202853272;0.043191395
11 - 12;0.237368421;0.382;0.063333333;0.058847134;0;0.05;0.219797884;0.040025232
12 - 13;0.256315789;0.32;0.07;0.071420651;0.003333333;0.09;0.209073093;0.050903488
13 - 14;0.258947368;0.34;0.063333333;0.09782447;0.026666667;0.07;0.222062255;0.067239396
14 - 15;0.267368421;0.32;0.166666667;0.131800613;0.063333333;0.06;0.219118045;0.069985713
15 - 16;0.252894737;0.325;0.136666667;0.145053578;0.066666667;0.07;0.215772914;0.069424005
16 - 17;0.254473684;0.351;0.12;0.148740653;0.08;0.08;0.223476467;0.064955718
17 - 18;0.241842105;0.323;0.073333333;0.135475942;0.116666667;0.07;0.20677145;0.055472246
18 - 19;0.223157895;0.299;0.06;0.126941847;0.103333333;0.05;0.193873107;0.059461427
19 - 20;0.207631579;0.263;0.063333333;0.168023477;0.083333333;0.05;0.182039926;0.075488199
20 - 21;0.196315789;0.224;0.053333333;0.176016829;0.09;0.04;0.173143048;0.099113354
21 - 22;0.205;0.27;0.066666667;0.16291461;0.066666667;0.05;0.199281377;0.12284413
22 - 23;0.236315789;0.273;0.08;0.170912827;0.06;0.02;0.219400739;0.148886429
23 - 00;0.255526316;0.265;0.043333333;0.169626823;0.043333333;0.02;0.22579771;0.156866815
00 - 01;0.274210526;0.238;0.033333333;0.179759406;0.04;0.03;0.228995943;0.174777304
01 - 02;0.287368421;0.275;0.033333333;0.190386656;0.023333333;0.01;0.253153284;0.19709143
02 - 03;0.311842105;0.319;0.043333333;0.208475277;0.03;0.02;0.280415246;0.210403634
03 - 04;0.315789474;0.345;0.02;0.225325428;0.036666667;0.01;0.297953619;0.233071382
04 - 05;0.305263158;0.368;0.003333333;0.241568757;0.013333333;0.01;0.306946405;0.247576057
05 - 06;0.280263158;0.379;0;0.31079223;0.006666667;0.01;0.304312169;0.253673349
06 - 07;0.241842105;0.379;0;0.336195107;0.003333333;0.02;0.290982872;0.252106509
07 - 08;0.265526316;0.387;0;0.342154235;0;0.01;0.290655808;0.219441107
08 - 09;0.283421053;0.407;0;0.320392826;0;0.01;0.29657137;0.199293057
09 - 10;0.304473684;0.453;0.01;0.306391822;0.003333333;0.01;0.325036898;0.217637009
10 - 11;0.297105263;0.495;0.03;0.288811767;0;0.01;0.343301089;0.237798004
11 - 12;0.298684211;0.511;0.046666667;0.286308244;0;0.01;0.355651493;0.257270269
12 - 13;0.302105263;0.563;0.076666667;0.2968882;0;0.01;0.374592186;0.258671295
13 - 14;0.331052632;0.625;0.1;0.317094997;0.003333333;0.01;0.406954093;0.264809648
14 - 15;0.353157895;0.654;0.126666667;0.279232448;0.003333333;0.01;0.422231933;0.259537904
15 - 16;0.332631579;0.513;0.176666667;0.293780867;0.003333333;0.01;0.361098805;0.237664835
16 - 17;0.271052632;0.336;0.21;0.275408641;0.01;0.01;0.272378545;0.210083003
17 - 18;0.228684211;0.23;0.23;0.249228734;0.006666667;0.01;0.221210861;0.204948373
18 - 19;0.188157895;0.255;0.233333333;0.207975588;0;0;0.217882557;0.210489777
19 - 20;0.172368421;0.305;0.25;0.187916648;0;0;0.23140065;0.21683353
20 - 21;0.178157895;0.362;0.29;0.194967765;0.003333333;0.01;0.257308018;0.23176616
21 - 22;0.173421053;0.349;0.34;0.239457842;0.016666667;0.02;0.247259178;0.219356482
22 - 23;0.138157895;0.294;0.316666667;0.272156436;0.056666667;0.01;0.217240412;0.219563341
23 - 00;0.101052632;0.217;0.32;0.239202599;0.126666667;0;0.174126672;0.204327384
00 - 01;0.079736842;0.152;0.273333333;0.202637254;0.206666667;0.01;0.14093775;0.191076409
01 - 02;0.074473684;0.149;0.22;0.162818801;0.25;0.03;0.13805877;0.190702625
02 - 03;0.083421053;0.174;0.2;0.171464768;0.26;0.04;0.151294236;0.196461655
03 - 04;0.103157895;0.144;0.18;0.166912393;0.18;0.04;0.149414897;0.201086796
04 - 05;0.127368421;0.144;0.143333333;0.178315027;0.113333333;0.03;0.154445745;0.191968815
05 - 06;0.136315789;0.159;0.14;0.195580612;0.043333333;0.03;0.16203562;0.190791069
06 - 07;0.149210526;0.202;0.15;0.197931987;0.016666667;0.01;0.173242408;0.168516696
07 - 08;0.166315789;0.235;0.14;0.137309961;0.01;0.01;0.1771757;0.13021131
08 - 09;0.154473684;0.207;0.103333333;0.053157119;0.016666667;0;0.156966989;0.109427284
09 - 10;0.155526316;0.236;0.09;0.053128315;0.003333333;0;0.168296861;0.113364267
10 - 11;0.193157895;0.284;0.08;0.074415673;0;0;0.200351595;0.123896891
11 - 12;0.207894737;0.376;0.05;0.093661681;0;0;0.243696853;0.147195822
12 - 13;0.216578947;0.407;0.04;0.118221919;0;0.03;0.262034989;0.162526021
13 - 14;0.221052632;0.434;0.033333333;0.146763239;0.003333333;0.02;0.274071918;0.167163121
14 - 15;0.227105263;0.409;0.056666667;0.169542411;0.01;0.02;0.271499682;0.178393782
15 - 16;0.225789474;0.391;0.063333333;0.151070889;0.04;0.06;0.261549859;0.167860104
16 - 17;0.232894737;0.416;0.11;0.14561437;0.07;0.1;0.271611346;0.165939302
17 - 18;0.253947368;0.415;0.203333333;0.154046077;0.096666667;0.11;0.27233625;0.148061383
18 - 19;0.270263158;0.419;0.21;0.14524118;0.133333333;0.12;0.275555009;0.13740187
19 - 20;0.244736842;0.387;0.17;0.132514074;0.14;0.15;0.262685038;0.156318272
20 - 21;0.248684211;0.358;0.16;0.162016075;0.196666667;0.18;0.263780046;0.184655929
21 - 22;0.268157895;0.315;0.13;0.169956995;0.25;0.1;0.256468167;0.186246607
22 - 23;0.285263158;0.267;0.11;0.222455807;0.22;0.07;0.245195385;0.183322996
23 - 00;0.280263158;0.297;0.166666667;0.237480871;0.223333333;0.08;0.250420635;0.173998747
00 - 01;0.287368421;0.338;0.266666667;0.240560466;0.22;0.07;0.260014483;0.154675028
01 - 02;0.287368421;0.359;0.303333333;0.219436372;0.196666667;0.07;0.26468474;0.147685798
02 - 03;0.312894737;0.408;0.27;0.180040926;0.206666667;0.08;0.284883087;0.133754524
03 - 04;0.318421053;0.508;0.266666667;0.132861216;0.206666667;0.07;0.314511644;0.117113881
04 - 05;0.332105263;0.512;0.286666667;0.122017535;0.153333333;0.09;0.312665727;0.093891916
05 - 06;0.372631579;0.557;0.25;0.118865706;0.16;0.07;0.334634636;0.07427233
06 - 07;0.418421053;0.572;0.203333333;0.115950243;0.17;0.06;0.351337368;0.063591051
07 - 08;0.437368421;0.571;0.15;0.079764995;0.126666667;0.06;0.351844022;0.047163645
08 - 09;0.477631579;0.648;0.11;0.027394734;0.063333333;0.04;0.396719038;0.064525535
09 - 10;0.555;0.747;0.086666667;0.017871838;0.04;0.03;0.466317971;0.096953913
10 - 11;0.654210526;0.791;0.096666667;0.028965745;0.033333333;0.05;0.520071448;0.115003818
11 - 12;0.734736842;0.82;0.09;0.045128181;0.05;0.05;0.559678922;0.124299925
12 - 13;0.768157895;0.842;0.1;0.068720089;0.043333333;0.04;0.580481318;0.13128606
13 - 14;0.754736842;0.853;0.116666667;0.106436912;0.033333333;0.06;0.583037769;0.141376466
14 - 15;0.723684211;0.859;0.113333333;0.140028622;0.033333333;0.05;0.579957289;0.157187655
15 - 16;0.706052632;0.86;0.106666667;0.155189948;0.04;0.05;0.576597725;0.163740543
16 - 17;0.689736842;0.834;0.116666667;0.190622613;0.04;0.05;0.562792067;0.16463936
17 - 18;0.651315789;0.815;0.126666667;0.218341145;0.03;0.06;0.542894236;0.162366918
18 - 19;0.603157895;0.766;0.11;0.26287609;0.03;0.06;0.516576894;0.180572786
19 - 20;0.547631579;0.724;0.113333333;0.315976499;0.05;0.06;0.503809945;0.239798256
20 - 21;0.527894737;0.676;0.136666667;0.36710617;0.116666667;0.06;0.499913265;0.29584506
21 - 22;0.531578947;0.661;0.133333333;0.398124266;0.16;0.06;0.512951145;0.346274487
22 - 23;0.533684211;0.57;0.126666667;0.405234811;0.273333333;0.03;0.495200353;0.381916848
23 - 00;0.514210526;0.499;0.123333333;0.428479335;0.293333333;0.03;0.468847592;0.393332249
00 - 01;0.492368421;0.469;0.133333333;0.452509599;0.266666667;0.03;0.453879211;0.400269213
01 - 02;0.475526316;0.376;0.143333333;0.483915232;0.233333333;0.03;0.415541647;0.395098626
02 - 03;0.452368421;0.315;0.163333333;0.485026045;0.2;0.03;0.386826707;0.393111699
03 - 04;0.419473684;0.291;0.186666667;0.480653059;0.193333333;0.04;0.365738629;0.386742204
04 - 05;0.390789474;0.256;0.21;0.46109119;0.19;0.07;0.338238686;0.367926584
05 - 06;0.377631579;0.241;0.21;0.456977801;0.163333333;0.05;0.323486033;0.351826521
06 - 07;0.351842105;0.244;0.243333333;0.439797505;0.15;0.06;0.310305268;0.335073699
07 - 08;0.336315789;0.258;0.246666667;0.39550125;0.11;0.06;0.292245293;0.282420089
08 - 09;0.330789474;0.246;0.35;0.33771596;0.043333333;0.02;0.267457887;0.225584189
09 - 10;0.319210526;0.197;0.38;0.296006959;0.03;0.01;0.243968125;0.215693849
10 - 11;0.303157895;0.12;0.386666667;0.259797089;0.053333333;0.05;0.215674412;0.22386534
11 - 12;0.273157895;0.112;0.44;0.257434341;0.056666667;0.08;0.207250076;0.236592334
12 - 13;0.233421053;0.097;0.46;0.264800067;0.056666667;0.09;0.187335516;0.231585494
13 - 14;0.219736842;0.086;0.513333333;0.267372766;0.046666667;0.07;0.177572773;0.226981477
14 - 15;0.202631579;0.074;0.593333333;0.249071458;0.043333333;0.08;0.168109475;0.227696847
15 - 16;0.178947368;0.08;0.603333333;0.261325132;0.043333333;0.09;0.169469905;0.249462345
16 - 17;0.157894737;0.096;0.546666667;0.253085602;0.046666667;0.09;0.163730065;0.237295458
17 - 18;0.154473684;0.072;0.52;0.243184331;0.056666667;0.07;0.152115752;0.229873573
18 - 19;0.159210526;0.059;0.383333333;0.219996957;0.076666667;0.06;0.152299525;0.238688048
19 - 20;0.152894737;0.052;0.32;0.212728287;0.136666667;0.06;0.153003459;0.25411564
20 - 21;0.112368421;0.052;0.33;0.23063911;0.236666667;0.14;0.146728948;0.275818424
21 - 22;0.104736842;0.05;0.363333333;0.234925945;0.373333333;0.25;0.142036194;0.271371741
22 - 23;0.113421053;0.036;0.343333333;0.231818059;0.453333333;0.25;0.133187421;0.25014121
23 - 00;0.126842105;0.02;0.316666667;0.213378995;0.486666667;0.29;0.120589341;0.214925917
00 - 01;0.140263158;0.029;0.333333333;0.175543437;0.456666667;0.29;0.118162188;0.185223407
01 - 02;0.157894737;0.05;0.313333333;0.150972053;0.42;0.26;0.129024132;0.179177658
02 - 03;0.187105263;0.079;0.3;0.137526713;0.343333333;0.27;0.147874603;0.177518545
03 - 04;0.204736842;0.08;0.306666667;0.120578508;0.316666667;0.29;0.156320718;0.184225312
04 - 05;0.196315789;0.099;0.326666667;0.135618413;0.343333333;0.33;0.15590935;0.172412262
05 - 06;0.198421053;0.118;0.3;0.140660471;0.343333333;0.33;0.161213447;0.167219289
06 - 07;0.212105263;0.12;0.303333333;0.141339993;0.34;0.29;0.162393264;0.155074528
07 - 08;0.234736842;0.136;0.27;0.092829634;0.283333333;0.27;0.168280273;0.134103976
08 - 09;0.241315789;0.136;0.25;0.052463753;0.21;0.21;0.163469049;0.113091359
09 - 10;0.248947368;0.128;0.24;0.045004616;0.153333333;0.24;0.162586166;0.110811131
10 - 11;0.252368421;0.212;0.223333333;0.051111209;0.123333333;0.21;0.19121085;0.109264128
11 - 12;0.256578947;0.279;0.226666667;0.060760936;0.103333333;0.18;0.213595924;0.105208826
12 - 13;0.27;0.317;0.21;0.076078671;0.093333333;0.15;0.228651987;0.098955961
13 - 14;0.264210526;0.302;0.16;0.073823567;0.08;0.09;0.218750114;0.090039815
14 - 15;0.267105263;0.279;0.116666667;0.076046098;0.076666667;0.11;0.213855418;0.09546099
15 - 16;0.265;0.361;0.086666667;0.07104415;0.06;0.1;0.238914597;0.090743791
16 - 17;0.266315789;0.373;0.056666667;0.06077098;0.056666667;0.09;0.238938599;0.077500007
17 - 18;0.289736842;0.266;0.033333333;0.056866696;0.06;0.05;0.210142684;0.07469121
18 - 19;0.306315789;0.298;0.063333333;0.060107149;0.036666667;0.06;0.228501152;0.081187665
19 - 20;0.334736842;0.282;0.063333333;0.059658206;0.043333333;0.05;0.237461869;0.095648766
20 - 21;0.318684211;0.252;0.05;0.069959253;0.046666667;0.05;0.226569492;0.109024266
21 - 22;0.328947368;0.326;0.046666667;0.07790548;0.05;0.04;0.258879409;0.12169086
22 - 23;0.343947368;0.434;0.023333333;0.077958608;0.033333333;0.04;0.299510444;0.120583965
23 - 00;0.336842105;0.516;0.02;0.072408683;0.033333333;0.04;0.325778384;0.124493046
00 - 01;0.345789474;0.52;0;0.061936739;0.036666667;0.03;0.336274959;0.143035403
01 - 02;0.350526316;0.516;0;0.044260188;0.036666667;0.02;0.339726322;0.152652651
02 - 03;0.352105263;0.438;0;0.037927392;0.033333333;0.02;0.313623249;0.150764484
03 - 04;0.354473684;0.303;0;0.033310616;0.05;0.02;0.271292735;0.15640452
04 - 05;0.322631579;0.244;0;0.024884615;0.053333333;0.02;0.243398938;0.163565235
05 - 06;0.300526316;0.262;0;0.024310775;0.05;0.01;0.244436345;0.170782721
06 - 07;0.274210526;0.277;0;0.018553703;0.036666667;0.01;0.243050816;0.177941921
07 - 08;0.231578947;0.3;0;0.013425148;0.036666667;0;0.233254518;0.168184606
08 - 09;0.217105263;0.264;0;0.007637066;0.036666667;0.01;0.213741207;0.160118358
09 - 10;0.185789474;0.298;0;0.004453397;0.036666667;0.01;0.215709232;0.163338222
10 - 11;0.153157895;0.355;0;0.008284398;0.046666667;0.01;0.225455104;0.168207416
11 - 12;0.152631579;0.303;0;0.016404957;0.06;0.02;0.207228692;0.166054497
12 - 13;0.164473684;0.246;0.006666667;0.030391513;0.07;0.02;0.192024765;0.165600611
13 - 14;0.194736842;0.269;0.003333333;0.046206983;0.076666667;0.03;0.2143205;0.179224658
14 - 15;0.200263158;0.2;0.016666667;0.045667021;0.15;0.04;0.195313595;0.185677627
15 - 16;0.203421053;0.145;0.043333333;0.057582866;0.19;0.07;0.176889512;0.182247483
16 - 17;0.214473684;0.088;0.046666667;0.054817343;0.183333333;0.07;0.155379067;0.163663518
17 - 18;0.226315789;0.063;0.05;0.050724715;0.216666667;0.05;0.144648524;0.144629782
18 - 19;0.200789474;0.036;0.05;0.056937841;0.226666667;0.06;0.11584049;0.110731997
19 - 20;0.182894737;0.031;0.063333333;0.07818842;0.223333333;0.06;0.104156464;0.098574656
20 - 21;0.178157895;0.035;0.076666667;0.083918602;0.226666667;0.07;0.101551856;0.091497673
21 - 22;0.177105263;0.048;0.083333333;0.132773867;0.236666667;0.08;0.104277218;0.087726392
22 - 23;0.194210526;0.09;0.1;0.18209973;0.2;0.07;0.122093132;0.08206887
23 - 00;0.208157895;0.143;0.126666667;0.191117338;0.136666667;0.04;0.142717678;0.076995139
00 - 01;0.214736842;0.26;0.136666667;0.175900629;0.106666667;0.03;0.183704373;0.076376278
01 - 02;0.238684211;0.345;0.14;0.160842401;0.086666667;0.02;0.22554067;0.092937799
02 - 03;0.290789474;0.473;0.133333333;0.179918026;0.06;0.02;0.291096615;0.10950037
03 - 04;0.378157895;0.575;0.113333333;0.196565612;0.046666667;0;0.36369824;0.137936827
04 - 05;0.388157895;0.573;0.11;0.180560467;0.043333333;0;0.381263812;0.182633542
05 - 06;0.393421053;0.546;0.1;0.168148291;0.05;0;0.386886826;0.221239425
06 - 07;0.398947368;0.447;0.103333333;0.145364537;0.026666667;0;0.359565378;0.232748766
07 - 08;0.338947368;0.438;0.09;0.090502946;0.01;0;0.339653242;0.242012359
08 - 09;0.331578947;0.314;0.07;0.041012058;0.003333333;0;0.296339603;0.243439861
09 - 10;0.386842105;0.376;0.073333333;0.040786669;0;0;0.338649172;0.253105411
10 - 11;0.467368421;0.495;0.076666667;0.045798387;0;0;0.407107561;0.258954262
11 - 12;0.558157895;0.633;0.086666667;0.04728686;0;0;0.483572027;0.259558186
12 - 13;0.621578947;0.747;0.13;0.056301875;0.003333333;0;0.542701333;0.259525052
13 - 14;0.652368421;0.779;0.166666667;0.053622252;0.006666667;0;0.567919243;0.272389309
14 - 15;0.668684211;0.815;0.18;0.05672018;0.03;0.02;0.598393768;0.311497094
15 - 16;0.653421053;0.787;0.19;0.060932769;0.053333333;0.05;0.585000758;0.314581221
16 - 17;0.627368421;0.699;0.233333333;0.066796961;0.106666667;0.1;0.547118962;0.314988465
17 - 18;0.631315789;0.611;0.246666667;0.088066952;0.18;0.11;0.521408235;0.321908916
18 - 19;0.627894737;0.485;0.246666667;0.084697099;0.2;0.11;0.481706395;0.332224449
19 - 20;0.620789474;0.472;0.263333333;0.100213207;0.123333333;0.1;0.480353566;0.348271225
20 - 21;0.650789474;0.397;0.303333333;0.168809583;0.06;0.08;0.47079034;0.364581546
21 - 22;0.675526316;0.437;0.296666667;0.249859303;0.283333333;0.13;0.493185115;0.36702903
22 - 23;0.715526316;0.584;0.29;0.296233933;0.31;0.13;0.552739406;0.358691902
23 - 00;0.739736842;0.65;0.28;0.308912838;0.313333333;0.12;0.576905645;0.340980092
00 - 01;0.757894737;0.707;0.316666667;0.316051104;0.28;0;0.599979467;0.335043664
01 - 02;0.761052632;0.762;0.323333333;0.287655379;0.286666667;0.07;0.621768824;0.342253842
02 - 03;0.757631579;0.746;0.35;0.257944138;0.366666667;0.07;0.616925849;0.347145967
03 - 04;0.749736842;0.795;0.34;0.248447764;0.37;0.06;0.635830958;0.362756031
04 - 05;0.738947368;0.82;0.343333333;0.223840542;0.336666667;0.06;0.640614685;0.362896686
05 - 06;0.729736842;0.807;0.336666667;0.203034843;0.283333333;0.05;0.633724578;0.364436892
06 - 07;0.705789474;0.803;0.32;0.17800638;0.283333333;0.04;0.618246118;0.34594888
07 - 08;0.696842105;0.799;0.28;0.128849545;0.22;0;0.604418061;0.317412079
08 - 09;0.712368421;0.797;0.296666667;0.107203955;0.186666667;0.03;0.605109888;0.305961242
09 - 10;0.720526316;0.82;0.34;0.130744199;0.196666667;0.03;0.619350241;0.317524407
10 - 11;0.728421053;0.833;0.42;0.137475666;0.183333333;0.01;0.632099932;0.334878744
11 - 12;0.710789474;0.827;0.5;0.127512113;0.186666667;0.01;0.621928174;0.327995049
12 - 13;0.698157895;0.83;0.516666667;0.117173254;0.183333333;0.01;0.615917236;0.319593812
13 - 14;0.706052632;0.821;0.523333333;0.109513073;0.16;0.04;0.611126717;0.306327518
14 - 15;0.668421053;0.818;0.536666667;0.103163985;0.226666667;0.05;0.592267375;0.290381073
15 - 16;0.619210526;0.808;0.523333333;0.094016837;0.196666667;0.05;0.569030236;0.279880182
16 - 17;0.551578947;0.78;0.596666667;0.08235178;0.156666667;0.05;0.534679065;0.272458248
17 - 18;0.478684211;0.761;0.613333333;0.079584879;0.056666667;0.06;0.501740768;0.265538095
18 - 19;0.412368421;0.736;0.58;0.078464082;0.01;0.08;0.474336158;0.274640053
19 - 20;0.336052632;0.682;0.553333333;0.103476563;0.01;0.1;0.438014781;0.295991713
20 - 21;0.252105263;0.6;0.52;0.16391745;0.033333333;0.1;0.387195523;0.309481306
21 - 22;0.201842105;0.593;0.51;0.276206613;0.07;0.08;0.366189558;0.303726568
22 - 23;0.14;0.547;0.516666667;0.396516577;0.103333333;0.08;0.325622605;0.289867814
23 - 00;0.103157895;0.375;0.473333333;0.45165117;0.153333333;0.11;0.245568969;0.258549012
00 - 01;0.073421053;0.296;0.426666667;0.465712844;0.173333333;0.1;0.204416187;0.243827508
01 - 02;0.051842105;0.333;0.373333333;0.456737477;0.19;0.11;0.203876204;0.226786507
02 - 03;0.034473684;0.288;0.306666667;0.455042635;0.163333333;0.16;0.184597035;0.231317421
03 - 04;0.025;0.219;0.24;0.458383239;0.176666667;0.21;0.160346046;0.237038138
04 - 05;0.015263158;0.203;0.263333333;0.45354452;0.24;0.17;0.152795597;0.240123634
05 - 06;0.007368421;0.161;0.253333333;0.439522316;0.283333333;0.16;0.136689642;0.241700505
06 - 07;0.007894737;0.094;0.233333333;0.4260893;0.273333333;0.14;0.106768553;0.218410923
07 - 08;0.010789474;0.054;0.17;0.365064096;0.236666667;0.09;0.087084554;0.196464188
08 - 09;0.010789474;0.031;0.133333333;0.35380388;0.253333333;0.09;0.075091419;0.183484784
09 - 10;0.038157895;0.034;0.143333333;0.350102115;0.276666667;0.08;0.085037915;0.182955851
10 - 11;0.021578947;0.009;0.153333333;0.354328017;0.26;0.06;0.074779247;0.193758792
11 - 12;0.028421053;0.009;0.146666667;0.359249385;0.236666667;0.08;0.08180585;0.207996497
12 - 13;0.041578947;0.011;0.136666667;0.3615;0.22;0.11;0.097831109;0.240914381
13 - 14;0.045263158;0.018;0.11;0.354272538;0.166666667;0.11;0.103666975;0.247737769
14 - 15;0.051052632;0.011;0.096666667;0.346900929;0.143333333;0.11;0.10862041;0.263808598
15 - 16;0.052894737;0.012;0.09;0.357547984;0.096666667;0.08;0.116683546;0.285155902
16 - 17;0.058947368;0.011;0.096666667;0.372297635;0.1;0.11;0.122668905;0.298059348
17 - 18;0.055789474;0.016;0.086666667;0.367902869;0.113333333;0.12;0.122325215;0.295186171
18 - 19;0.052894737;0.016;0.066666667;0.327755359;0.113333333;0.09;0.121482906;0.295553981
19 - 20;0.047894737;0.022;0.08;0.364671698;0.126666667;0.05;0.123242119;0.29983162
20 - 21;0.055789474;0.041;0.116666667;0.404934885;0.17;0.06;0.131501179;0.297714064
21 - 22;0.071052632;0.059;0.19;0.449424116;0.21;0.05;0.139446418;0.288286622
22 - 23;0.082368421;0.069;0.31;0.462039702;0.23;0.04;0.144179932;0.281171376
23 - 00;0.086315789;0.075;0.423333333;0.480939797;0.256666667;0.05;0.140632829;0.260582697
00 - 01;0.100526316;0.106;0.44;0.519516148;0.26;0.05;0.156819707;0.263932805
01 - 02;0.102894737;0.146;0.393333333;0.514114547;0.253333333;0.05;0.171348651;0.265151215
02 - 03;0.085;0.15;0.416666667;0.514326253;0.27;0.05;0.162476303;0.25242891
03 - 04;0.067631579;0.245;0.46;0.512812838;0.283333333;0.08;0.189537472;0.255980836
04 - 05;0.056842105;0.247;0.443333333;0.509587436;0.246666667;0.09;0.187300653;0.258059854
05 - 06;0.044736842;0.186;0.416666667;0.510136253;0.253333333;0.09;0.160301366;0.250167256
06 - 07;0.040263158;0.139;0.413333333;0.499427233;0.243333333;0.12;0.138836892;0.237247518
07 - 08;0.049473684;0.104;0.413333333;0.479218821;0.203333333;0.15;0.123970091;0.21843659
08 - 09;0.042368421;0.107;0.436666667;0.451673602;0.15;0.13;0.118163513;0.205122117
09 - 10;0.037105263;0.088;0.53;0.443204694;0.11;0.16;0.111195435;0.208481041
10 - 11;0.041315789;0.082;0.586666667;0.464566994;0.076666667;0.15;0.113702988;0.217793175
11 - 12;0.043421053;0.08;0.556666667;0.466054862;0.076666667;0.11;0.118763838;0.23287046
12 - 13;0.062105263;0.08;0.526666667;0.46530723;0.126666667;0.11;0.131697335;0.252986743
13 - 14;0.082368421;0.067;0.506666667;0.472349168;0.14;0.14;0.139746034;0.269869681
14 - 15;0.101578947;0.067;0.52;0.492730892;0.126666667;0.21;0.146957697;0.272294144
15 - 16;0.132894737;0.085;0.536666667;0.480721771;0.163333333;0.2;0.164160429;0.274586551
16 - 17;0.159736842;0.054;0.54;0.467770378;0.153333333;0.22;0.159077598;0.263495952
17 - 18;0.151578947;0.051;0.49;0.46580124;0.133333333;0.25;0.150094854;0.247705613
18 - 19;0.136578947;0.04;0.356666667;0.456074948;0.123333333;0.23;0.137410682;0.235653098
19 - 20;0.127105263;0.03;0.356666667;0.452415837;0.143333333;0.16;0.140922646;0.265662676
20 - 21;0.095526316;0.02;0.363333333;0.447039799;0.223333333;0.1;0.138163743;0.298964913
21 - 22;0.126578947;0.02;0.336666667;0.441828154;0.29;0.15;0.150799253;0.305818811
22 - 23;0.122631579;0.023;0.33;0.4492766;0.296666667;0.07;0.148541019;0.299991478
23 - 00;0.095789474;0.016;0.353333333;0.435964353;0.213333333;0.05;0.1381227;0.302578628
00 - 01;0.083947368;0.011;0.263333333;0.422936898;0.24;0.07;0.121392793;0.269231009
01 - 02;0.068947368;0.013;0.23;0.396116419;0.223333333;0.06;0.109379009;0.246189657
02 - 03;0.066842105;0.01;0.223333333;0.364652457;0.153333333;0.05;0.103020257;0.232218664
03 - 04;0.066842105;0.007;0.186666667;0.342495187;0.123333333;0.08;0.098075619;0.220384752
04 - 05;0.064736842;0.007;0.156666667;0.299694707;0.123333333;0.05;0.099325173;0.226238677
05 - 06;0.076315789;0.004;0.133333333;0.235822364;0.103333333;0.04;0.103294465;0.229567606
06 - 07;0.082105263;0.004;0.116666667;0.207912001;0.07;0.05;0.102782994;0.222243718
07 - 08;0.092105263;0.011;0.11;0.231321098;0.05;0.04;0.109984958;0.22684961
08 - 09;0.146315789;0.008;0.123333333;0.227073504;0.026666667;0.04;0.134258686;0.24846027
09 - 10;0.229210526;0.011;0.143333333;0.216872141;0.016666667;0.05;0.183072839;0.309007991
10 - 11;0.319736842;0.035;0.15;0.261966448;0.01;0.05;0.244100827;0.37756564
11 - 12;0.436315789;0.067;0.156666667;0.306558282;0.023333333;0.05;0.320544713;0.45831835
12 - 13;0.540789474;0.085;0.16;0.360076161;0.036666667;0.05;0.380982788;0.517158891
13 - 14;0.627631579;0.123;0.16;0.372694148;0.043333333;0.11;0.432764142;0.547660847
14 - 15;0.689473684;0.137;0.2;0.365948736;0.05;0.17;0.461897777;0.559219647
15 - 16;0.718157895;0.153;0.213333333;0.418194992;0.03;0.19;0.478958673;0.565718124
16 - 17;0.710526316;0.167;0.286666667;0.399048713;0.02;0.19;0.476753107;0.552733004
17 - 18;0.680526316;0.169;0.326666667;0.395517541;0.016666667;0.2;0.46218178;0.537019023
