hour;dk1;dk2;ee;fi;lt;lv;no;se
16 - 17;0;0;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;0.000067
17 - 18;0;0;0.000036;0.000036;0.000036;0.000036;0.000036;0.000108
18 - 19;0;0;3.06667E-05;3.06667E-05;3.06667E-05;3.06667E-05;3.06667E-05;0.000092
19 - 20;0;0;3.46667E-05;3.46667E-05;3.46667E-05;3.46667E-05;3.46667E-05;0.000104
20 - 21;0;0;3.26667E-05;3.26667E-05;3.26667E-05;3.26667E-05;3.26667E-05;0.000098
21 - 22;0;0;4.16667E-05;4.16667E-05;4.16667E-05;4.16667E-05;4.16667E-05;0.000125
22 - 23;0;0;3.06667E-05;3.06667E-05;3.06667E-05;3.06667E-05;3.06667E-05;0.000092
23 - 00;0;0;2.73333E-05;2.73333E-05;2.73333E-05;2.73333E-05;2.73333E-05;0.000082
00 - 01;0;0;0.000016;0.000016;0.000016;0.000016;0.000016;0.000048
01 - 02;0;0;0.00002;0.00002;0.00002;0.00002;0.00002;0.00006
02 - 03;0;0;0.000015;0.000015;0.000015;0.000015;0.000015;0.000045
03 - 04;0;0;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;0.000061
04 - 05;0;0;0.000041;0.000041;0.000041;0.000041;0.000041;0.000123
05 - 06;0;0;3.23333E-05;3.23333E-05;3.23333E-05;3.23333E-05;3.23333E-05;0.000097
06 - 07;0;0;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;1.93333E-05;0.000058
07 - 08;0;0;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;2.33333E-05;0.00007
08 - 09;0;0;2.69433E-05;2.69433E-05;2.69433E-05;2.69433E-05;2.69433E-05;0.00008083
09 - 10;0.015;0.04;0.018483223;0.018483223;0.018483223;0.018483223;0.018483223;0.00044967
10 - 11;0.0525;0.11;0.054698307;0.054698307;0.054698307;0.054698307;0.054698307;0.00159492
11 - 12;0.0875;0.145;0.078344993;0.078344993;0.078344993;0.078344993;0.078344993;0.00253498
12 - 13;0.135;0.175;0.104068373;0.104068373;0.104068373;0.104068373;0.104068373;0.00220512
13 - 14;0.1175;0.185;0.101238813;0.101238813;0.101238813;0.101238813;0.101238813;0.00121644
14 - 15;0.0725;0.08;0.051115527;0.051115527;0.051115527;0.051115527;0.051115527;0.00084658
15 - 16;0.0125;0.01;0.0075346;0.0075346;0.0075346;0.0075346;0.0075346;0.0001038
16 - 17;0;0;2.56667E-05;2.56667E-05;2.56667E-05;2.56667E-05;2.56667E-05;0.000077
17 - 18;0;0;0.000028;0.000028;0.000028;0.000028;0.000028;0.000084
18 - 19;0;0;2.66667E-05;2.66667E-05;2.66667E-05;2.66667E-05;2.66667E-05;0.00008
19 - 20;0;0;2.13667E-05;2.13667E-05;2.13667E-05;2.13667E-05;2.13667E-05;0.0000641
20 - 21;0;0;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;0.000064
21 - 22;0;0;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;0.000064
22 - 23;0;0;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;0.000049
23 - 00;0;0;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;2.23333E-05;0.000067
00 - 01;0;0;2.53333E-05;2.53333E-05;2.53333E-05;2.53333E-05;2.53333E-05;0.000076
01 - 02;0;0;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;0.000061
02 - 03;0;0;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;0.000049
03 - 04;0;0;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;0.00005
04 - 05;0;0;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;1.66667E-05;0.00005
05 - 06;0;0;0.000018;0.000018;0.000018;0.000018;0.000018;0.000054
06 - 07;0;0;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;2.13333E-05;0.000064
07 - 08;0;0;2.93333E-05;2.93333E-05;2.93333E-05;2.93333E-05;2.93333E-05;0.000088
